5,22,3,45,A-6%20Pk%203.5%20C,GUID_SEC_112014,720,88,4,--
5,22,3,45,A-6%20Pk%204.4%20D,GUID_SEC_112017,600,81,1,88
5,22,3,45,A-6%20Pk%205.95%20D,GUID_SEC_112023,240,106,0,100
5,22,3,45,A-6%20Pk%206.5%20D,GUID_SEC_112025,420,114,0,83
5,22,3,45,A-6%20Pk%206.75%20C,GUID_SEC_112027,540,110,1,100
5,22,3,45,A-6%20Pk%206.75%20D,GUID_SEC_112028,300,108,0,100
5,22,3,46,A-6%20Pk%203.5%20C,GUID_SEC_112014,720,88,4,--
5,22,3,46,A-6%20Pk%204.4%20D,GUID_SEC_112017,300,94,1,100
5,22,3,46,A-6%20Pk%205.95%20D,GUID_SEC_112023,480,107,1,85
5,22,3,46,A-6%20Pk%206.5%20D,GUID_SEC_112025,420,114,0,83
5,22,3,46,A-6%20Pk%206.75%20C,GUID_SEC_112027,540,110,1,100
5,22,3,46,A-6%20Pk%206.75%20D,GUID_SEC_112028,300,131,0,100
